Date,Season,Team_T1,Team_T2,Diff_Sum,Diff_BP,Diff_Ratio,Diff_Srv_Sum,Diff_Srv_Err,Diff_Srv_Ace,Diff_Srv_Eff,Diff_Rec_Sum,Diff_Rec_Err,Diff_Rec_Pos,Diff_Rec_Perf,Diff_Att_Sum,Diff_Att_Err,Diff_Att_Blk,Diff_Att_Kill,Diff_Att_Kill_Perc,Diff_Att_Eff,Diff_Blk_Sum,Diff_Blk_As,Diff_Days_since_last_match,Score
2008-11-24 18:00:00,2008/2009,AZS Częstochowa,Asseco Resovia,5.0,7.800000000000011,-1.3999999999999995,4.0,-0.6800000000000002,21.799999999999997,0.04000000000000001,0.5999999999999979,5.200000000000003,-0.118,0.016000000000000014,-11.200000000000003,17.0,2.6000000000000005,1.5999999999999996,0.0500000000000001,-0.045999999999999985,1.7999999999999998,-0.03999999999999959,1.0,3:2
2008-11-26 18:00:00,2008/2009,Chemik Bydgoszcz,PGE Skra Bełchatów,-5.399999999999999,-5.200000000000003,-2.2,-1.4000000000000004,-0.6200000000000001,7.599999999999994,0.01800000000000001,-1.5999999999999979,10.200000000000003,0.06799999999999995,0.07799999999999999,8.600000000000001,0.0,2.4000000000000004,3.5999999999999996,-0.03200000000000003,-0.04799999999999993,-0.20000000000000107,-0.14800000000000013,0.0,1:3
2008-11-28 17:30:00,2008/2009,ZAKSA Kędzierzyn-Koźle,AZS Częstochowa,8.600000000000001,14.200000000000003,-0.40000000000000036,-1.799999999999999,-0.06999999999999984,-0.6000000000000085,-0.027999999999999997,1.3999999999999986,-0.20000000000000284,0.018000000000000016,-0.020000000000000018,-0.40000000000000213,5.0,-1.0,0.7999999999999989,0.08400000000000002,0.062,0.40000000000000036,0.18599999999999994,3.0,3:1
2008-11-29 14:45:00,2008/2009,Asseco Resovia,AZS Olsztyn,-7.0,-11.600000000000009,-0.7999999999999998,2.1999999999999993,0.020000000000000018,-9.399999999999999,-0.01800000000000001,-5.199999999999999,-4.399999999999999,0.03200000000000003,0.013999999999999957,8.0,-8.800000000000011,-0.20000000000000018,1.4000000000000004,-0.040000000000000036,0.00599999999999995,-2.1999999999999993,-0.48999999999999977,-3.0,3:1
2008-11-29 17:00:00,2008/2009,Jastrzębski Węgiel,Trefl Gdańsk,-1.6000000000000014,-2.6000000000000085,0.6000000000000005,-1.4000000000000004,0.08000000000000007,-6.599999999999994,-0.022000000000000013,-1.4000000000000021,-6.600000000000001,-0.028000000000000025,0.03199999999999997,8.999999999999996,-1.0,0.5999999999999996,-2.5999999999999996,-0.006000000000000061,-0.00599999999999995,-1.4000000000000004,-0.42600000000000016,0.0,3:0
2008-11-29 18:00:00,2008/2009,Jadar Radom,Projekt Warszawa,-16.0,-14.200000000000003,-1.2000000000000002,-5.600000000000001,-0.10199999999999998,-18.0,-0.021999999999999992,-10.200000000000003,-7.600000000000001,0.03799999999999992,-0.03199999999999997,3.3999999999999986,-27.799999999999997,-0.20000000000000107,-0.5999999999999996,-0.15200000000000002,-0.03599999999999992,0.5999999999999996,0.5699999999999998,1.0,0:3
2008-12-05 18:00:00,2008/2009,Jastrzębski Węgiel,Asseco Resovia,1.1999999999999957,2.5999999999999943,0.7999999999999998,1.0,-0.10199999999999987,8.399999999999991,0.013999999999999999,5.199999999999999,-2.3999999999999986,-0.09999999999999998,-0.008000000000000007,-4.400000000000002,-0.8000000000000114,2.0,0.0,0.0040000000000000036,0.012000000000000122,0.20000000000000018,-0.27000000000000024,0.0,1:3
2008-12-06 14:45:00,2008/2009,AZS Olsztyn,ZAKSA Kędzierzyn-Koźle,-12.600000000000001,-15.200000000000003,0.0,-2.8000000000000007,0.18000000000000016,-7.200000000000003,0.02600000000000001,-0.5999999999999979,0.20000000000000284,0.05399999999999994,-5.551115123125783e-17,4.0,-15.599999999999994,-1.5999999999999996,-1.0000000000000009,-0.1180000000000001,-0.035999999999999976,-0.7999999999999989,0.1339999999999999,0.0,0:3
2008-12-06 17:00:00,2008/2009,AZS Częstochowa,Chemik Bydgoszcz,4.799999999999997,2.8000000000000114,1.7999999999999998,1.5999999999999996,0.4039999999999999,2.3999999999999915,-0.011999999999999997,-6.0,4.399999999999999,0.03799999999999992,0.050000000000000044,4.0,12.0,-0.5999999999999996,-1.5999999999999996,0.050000000000000044,-0.008000000000000007,-1.8000000000000007,-0.6360000000000001,-2.0,3:0
2008-12-06 17:00:00,2008/2009,PGE Skra Bełchatów,Jadar Radom,23.0,18.799999999999997,4.4,2.5999999999999996,0.8900000000000001,10.399999999999991,0.0020000000000000018,8.600000000000001,-0.20000000000000284,-0.07599999999999985,-0.006000000000000005,-5.199999999999999,20.799999999999997,-0.6000000000000014,1.0000000000000009,0.16800000000000004,0.09000000000000002,2.1999999999999993,0.20000000000000018,3.0,3:0
